ModelID,Num_ModelID,Model_Name,Model_Type,RDBMS_Type
7F71FEFE-669B-D8AD-6CA1-053AA3BA5642,70,"Logical",Logical,,
78E99769-ED20-D511-12E9-1279F51EAC30,121,"Relational_1",Relational,Oracle Database 11g,
